obstacleDetectDistance,carLinearSpeed,carTurningSpeed,servoRange,finishTime
0.3623621,164,207,53,386.5313
0.7283885,131,118,86,359.5156
0.1748902,180,253,48,78.95313
0.6949404,234,178,36,62.78125
0.1959679,200,206,36,99.09375
0.6810865,185,121,78,202.6563
0.6181539,111,132,68,227.5156
0.535834,232,222,71,49.20313
0.3184099,213,247,58,14.89063
0.4388519,116,145,38,20.35938
0.9949011,190,143,88,12.10938
0.7561295,215,103,68,11.25
0.6563207,232,200,75,168.4219
0.828257,238,183,82,39.1875
0.117705,124,246,42,16.5625
0.1396832,196,179,68,31.42188
0.2442447,207,177,75,53.40625
0.4213563,196,121,59,106.4688
0.5307683,213,155,79,141.3281
0.4187753,149,190,45,231
0.6006649,169,248,69,20.60938
0.7104887,240,148,76,62.64063
0.9365342,150,188,80,74.85938
